# ieee-iab.txt -- Ethernet vendor IAB file for arp-scan
#
# This file contains the Ethernet vendor IABs for arp-scan.  These are used
# to determine the vendor for a give Ethernet interface given the MAC address.
#
# Each line of this file contains an IAB-vendor mapping in the form:
#
# <IAB><TAB><Vendor>
#
# Where <IAB> is the first 36 bits of the MAC address in hex, and <Vendor>
# is the name of the vendor.
#
# Blank lines and lines beginning with "#" are ignored.
#
# This file was automatically generated by get-iab at 2018-12-24 19:37:33
# using data from http://standards-oui.ieee.org/iab/iab.txt
#
# Do not edit this file.  If you want to add additional MAC-Vendor mappings,
# edit the file mac-vendor.txt instead.
#
0050C2DD6	Transas Marine Limited                       
0050C29FD	Bitt technology-A Ltd.                       
0050C2A60	Arrow Central Europe GmbH - Division Spoerle 
0050C2A61	Fr. Sauter AG                                
0050C2A56	ReaMetrix, Inc.                              
0050C2A57	Juice Technologies, LLC                      
0050C2A7F	Phytec Messtechnik GmbH                      
0050C2A7E	Independent Project Engineering Ltd          
0050C2A33	Fuji Firmware                                
0050C2A2F	DragonFly Scientific LLC                     
0050C2A29	Luminex Corporation                          
0050C2A1F	Flight Data Systems Pty Ltd                  
0050C29AF	KRESS-NET Krzysztof Rutecki                  
0050C29AE	Esensors, Inc.                               
0050C29A8	DOMIS SA                                     
0050C29A7	Thales Communications & Security S.A.        
0050C29A4	Entwicklung Hard- & Software                 
0050C29A5	Conolog Corporation                          
0050C299F	Sietron Elektronik                           
0050C299D	Powersense A/S                               
0050C29C0	Stuyts Engineering Haarlem BV                
0050C29C1	Tattile srl                                  
0050C29BD	Sensitron Semiconductor                      
0050C29BC	Vester Elektronik GmbH                       
0050C29B9	ISA - Intelligent Sensing Anywhere, S.A.     
0050C29BB	OMICRON electronics GmbH                     
0050C29B8	Sound Player Systems e.K.                    
0050C29B3	Kahler Automation                            
0050C29B1	Bon Hora GmbH                                
0050C299E	Engage Technologies                          
0050C299B	Bettini srl                                  
0050C2995	Inter Control Hermann Köhler  Elektrik GmbH&Co.KG
0050C2994	Xafax Nederland bv                           
0050C2991	UGL Limited                                  
0050C2990	Keith & Koep GmbH                            
0050C2967	Watthour Engineering Co., Inc.               
0050C2968	BuLogics, Inc.                               
0050C2947	IMEXHIGHWAY cvba                             
0050C2943	QuanZhou TDX Electronics Co., Ltd.           
0050C2944	Wireonair A/S                                
0050C298B	TI2000 TECNOLOGIA INFORMATICA 2000           
0050C298A	MEV Limited                                  
0050C29D0	J. DITTRICH ELEKTRONIC GmbH & Co. KG         
0050C29CB	NIS-time GmbH                                
0050C29CC	Hirotech, Inc                                
0050C29C6	Protronic GmbH                               
0050C29C5	Scansonic MI GmbH                            
0050C297B	SMARTQUANTUM SA                              
0050C2972	Switch Science (Panini Keikaku)              
0050C2971	IPITEK                                       
0050C2952	Tech Fass s.r.o.                             
0050C292C	Exatrol Corporation                          
0050C292D	APProSoftware.com                            
0050C2923	Amicus Wireless                              
0050C2922	Metrum Sweden AB                             
0050C28D0	Saia-Burgess Controls AG                     
0050C28C6	Gradual Tecnologia Ltda.                     
0050C28E4	MaCaPS International Limited                 
0050C28DA	DOCUTEMP, INC                                
0050C290E	Phytec Messtechnik GmbH                      
0050C290F	INTEGRA Biosciences AG                       
0050C2901	Research Applications Incorp                 
0050C2936	Margaritis Engineering                       
0050C2937	BigBear                                      
0050C28FD	Sindoma Müh Mim Ýnþ Elk San Tic Ltd.         
0050C28FC	Symetrics Industries                         
0050C28EE	PCSC                                         
0050C28BC	Honeywell Sensotec                           
0050C28B2	SERVAIND SA.                                 
0050C2918	Design Lightning Corp                        
0050C2919	AHV Systems, Inc.                            
0050C2830	CompuShop Services LLC                       
0050C2828	SLICAN sp. z o.o.                            
0050C2827	Enero Solutions inc.                         
0050C2862	Elsys AG                                     
0050C2863	Advanced Technology Solutions                
0050C285C	B S E                                        
0050C2851	SPJ Embedded Technologies Pvt. Ltd.          
0050C2852	eInfochips Ltd.                              
0050C2847	Lars Morich Kommunikationstechnik GmbH       
0050C2848	DASA ROBOT Co., Ltd.                         
0050C281E	Channelot Ltd.                               
0050C281D	IT SALUX CO., LTD.                           
0050C2814	Telvent                                      
0050C289E	Broadcast Electronics                        
0050C288B	Hollis Electronics Company LLC               
0050C288A	Continental Electronics Corp.                
0050C2880	Creation Technologies Chicago                
0050C2881	InnoTrans Communications, Inc.               
0050C285B	Boreste                                      
0050C2876	Privatquelle Gruber GmbH & CO KG             
0050C2877	Motion Analysis Corp                         
0050C286D	Tieline Research Pty Ltd                     
0050C286C	Condigi Televagt A/S                         
0050C28A8	ALTEK ELECTRONICS                            
0050C283A	Syr-Tec Engineering & Marketing              
0050C283B	O. Bay AG                                    
0050C2793	Enertex Bayern GmbH                          
0050C2794	COMSONICS, INC.                              
0050C278A	LEVEL TELECOM                                
0050C2789	Rosslare Enterprises Limited                 
0050C2800	Delphi Display Systems, Inc.                 
0050C27FF	Shenzhen MaiWei Cable TV Equipment CO.,LTD.  
0050C27F6	Saia-Burgess Controls AG                     
0050C27F5	ACE Carwash Systems                          
0050C27B1	ATEME                                        
0050C27B2	A.D.I Video technologies                     
0050C27D5	Deuta-Werke GmbH                             
0050C27CD	Precision MicroControl Corporation           
0050C27C6	Lyngdorf Audio Aps                           
0050C27C5	Venture Research Inc.                        
0050C2813	Intelleflex Corporation                      
0050C280A	Phytec Messtechnik GmbH                      
0050C2809	Varma Electronics Oy                         
0050C27A7	Guidance Navigation Limited                  
0050C279E	Benshaw Canada Controls, Inc.                
0050C279D	MiraTrek                                     
0050C27BB	InRay Solutions Ltd.                         
0050C27BC	EIDOS SPA                                    
0050C274C	Saia-Burgess Controls AG                     
0050C274B	STAR-Dundee Ltd                              
0050C277C	ATEC SRL                                     
0050C277D	Lincoln Industrial                           
0050C2772	IES Elektronikentwicklung                    
0050C2773	Pointe Conception Medical Inc.               
0050C272E	SNCF EIM PAYS DE LOIRE                       
0050C272D	Physical Acoustics Corporation               
0050C2724	HSC-Regelungstechnik GmbH                    
0050C2756	Chesapeake Sciences Corp                     
0050C2755	Teletek Electronics                          
0050C2768	Control Service do Brasil Ltda               
0050C275F	B. Rexroth the identity company GmbH         
0050C2760	AR'S CO., LTD.                               
0050C2741	Dain                                         
0050C2742	Fantuzzi Reggiane                            
0050C2738	Miracom Technology Co., Ltd.                 
0050C2737	Teradici Corporation                         
0050C2683	MEGGITT Safety System                        
0050C2682	Commet AB                                    
0050C2679	Industrial Vacuum Systems                    
0050C2678	IHM                                          
0050C26BE	ESTEC Co.,Ltd.                               
0050C26B4	SOMESCA                                      
0050C26DC	L-3 Communications Mobile-Vision, Inc.       
0050C26D2	Lumistar Incorporated                        
0050C2696	Casabyte Inc.                                
0050C2697	Monarch Instrument                           
0050C268C	Isochron Inc                                 
0050C268D	CXR Larus Corporation                        
0050C2664	Westel Wireless Systems                      
0050C2665	NetworkSound, Inc                            
0050C265B	Silverbrook Research                         
0050C265A	Hisstema AB                                  
0050C2650	Liquid Breaker, LLC                          
0050C2651	STAER SPA                                    
0050C266E	Linear Systems Ltd.                          
0050C266F	Nilan A/S                                    
0050C26F0	Stanley Security Solutions, Inc.             
0050C26E6	Lanetco                                      
0050C26AA	Ifox - Industria e Comercio Ltda             
0050C26C8	B&S MEDIA Co., LTD.                          
0050C25D9	Crimson Microsystems, Inc.                   
0050C25D8	TECHNIFOR SAS                                
0050C25D5	Cannon Technologies                          
0050C25D1	Meucci Solutions                             
0050C25D0	Automata Spa                                 
0050C25CB	Kobold Sistemi s.r.l.                        
0050C25C7	InSync Technology Ltd                        
0050C25C6	Technische Alternative GmbH                  
0050C261F	Imagine Communications                       
0050C2615	Axis Electronics                             
0050C2647	R&D Technology Solutionz Limited             
0050C2646	TRUTOUCH TECHNOLOGIES INC                    
0050C263C	dPict Imaging, Inc.                          
0050C2634	Sohon Inc                                    
0050C260B	Shanghai QianJin Electronic Equipment Co. Ltd.
0050C260C	IDENTIC AB                                   
0050C2602	CHAUVIN ARNOUX                               
0050C25EF	pikkerton GmbH                               
0050C25ED	AQUAROTTER A FRANKE COMPANY                  
0050C25E4	Buyang Electronics Industrial Co., Ltd.      
0050C25E5	Stresstech OY                                
0050C25E3	Computechnic AG                              
0050C2633	Rice University                              
0050C2629	MacDonald Humfrey (Products) Ltd             
0050C262A	Prisma Engineering srl                       
0050C25F7	Metrologic Group                             
0050C25EE	Condre Corporation                           
0050C25C1	R. L. Drake Company                          
0050C25BC	Guangzhou Hui Si Information Technologies Inc.
0050C25B7	AVerMedia Technologies, Inc.                 
0050C25B4	Terrascience Systems Ltd.                    
0050C25B2	Syntronic AB                                 
0050C25B3	HITECOM System                               
0050C256B	Dataton Utvecklings AB                       
0050C259C	DELSAT GROUP S.A.                            
0050C2592	PaloDEx Group Oy                             
0050C25AD	Emcom Systems                                
0050C25AA	Transenna AB                                 
0050C25A8	ETAP NV                                      
0050C25A9	AYC Telecom Ltd                              
0050C25A3	LUMEL S.A.                                   
0050C2588	Federal Electronics                          
0050C257E	Digital Way                                  
0050C2561	Seitec Elektronik GmbH                       
0050C24C9	Scirocco AB                                  
0050C24C8	Neets                                        
0050C24BF	Westinghouse Rail Systems Ltd                
0050C24BE	Digital Dynamics, Inc.                       
0050C24B4	Matrix Audio Designs                         
0050C24B5	Valley Tecnologia                            
0050C24B0	Esmart Distribution Pte Ltd                  
0050C250F	Polystar Instruments AB                      
0050C250E	Fibresavers Corporation                      
0050C2504	Aphex Systems Ltd.                           
0050C24E6	Photonic Bridges  Inc.                       
0050C24E7	Computerized Elevator Contol                 
0050C24DD	Truteq Wireless (PTY) Ltd.                   
0050C24DC	Ace Electronics, Inc.                        
0050C24D2	Twoway CATV SERVICE INC.                     
0050C24D3	ELPROC sp. z o.o.                            
0050C24FB	BES Technology Group                         
0050C24FA	Cambridge Technology, Inc.                   
0050C24F1	Packet Island Inc.                           
0050C24AB	JVF Communications Ltd                       
0050C2438	Telecom Protection Technologies Limited      
0050C2436	Satellite Services BV                        
0050C2437	PowerWAN, Inc                                
0050C2431	Octatron, Inc.                               
0050C242E	Oelmann Elektronik GmbH                      
0050C2441	Sammi Information Systems Co.,Ltd            
0050C2448	Comtech Systems Inc.                         
0050C2442	Pico Computing, Inc.                         
0050C2449	BLEILE DATENTECHNIK GmbH                     
0050C2445	MICRONIC s.r.o.                              
0050C2440	Advanced Modular Computers Ltd.              
0050C243B	A3IP                                         
0050C242D	Argo-Tech                                    
0050C2427	Scheidt & Bachmann GmbH                      
0050C2423	Power-One Inc.                               
0050C2424	Metrolab Technology SA                       
0050C236F	XIMEA s.r.o.                                 
0050C2472	KOP Ltd                                      
0050C2471	Pixtree Technologies, inc.                   
0050C2468	Network I/O                                  
0050C2469	BiPOM Electronics, Inc.                      
0050C2467	United Western Technologies                  
0050C245F	T2C Marketing AB                             
0050C245E	Halliburton - Sperry Drilling Service        
0050C245D	Digital Engineering, Inc.                    
0050C2454	Brivo Systems, LLC                           
0050C2399	Advanced Micro Controls Inc.                 
0050C238F	TTC Telecom                                  
0050C238E	Nordic Alarm AB                              
0050C23DA	M5 Data Limited                              
0050C23D5	Fluke Biomedical, Radiation Management Services
0050C23D4	Wisnu and Supak Co.Ltd.                      
0050C23CB	Analytica GmbH                               
0050C23CE	Ward Leonard Electric Company                
0050C23F1	Salland Electronics Holding BV               
0050C23F2	STL GmbH                                     
0050C23EB	ISS International                            
0050C23DB	Osmetech Inc.                                
0050C23DC	3D perception                                
0050C23A3	Star Link Communication Pvt. Ltd.            
0050C23A6	IntelliDesign Pty Ltd                        
0050C23A2	Vegas Amusement                              
0050C239C	TIYODA MFG CO.,LTD.                          
0050C23CA	ABB Inc.                                     
0050C23C4	Sypris Electronics                           
0050C23C1	MicroTek Electronics, Inc.                   
0050C23BD	Bigbang L.T.D.                               
0050C23BE	Pauly Steuer- und Regelanlagen GmbH & Co. KG 
0050C2384	Wireless Reading Systems Holding ASA         
0050C2388	IEE Inc                                      
0050C2389	Exavio Inc.                                  
0050C2381	Realtime Engineering AG                      
0050C2406	CoreStreet, Ltd                              
0050C2405	Guralp Systems Limited                       
0050C23FF	Cast Iron Systems                            
0050C23FC	Weinberger Deutschland GmbH                  
0050C23F5	Phaedrus Limited                             
0050C23B3	Media Lab., Inc.                             
0050C23B4	Contrôle Analytique inc.                     
0050C241D	Altronic, Inc.                               
0050C2419	Mecsel Oy                                    
0050C241A	Bluewater Systems Ltd                        
0050C240F	BIR,INC.                                     
0050C2413	Goodrich                                     
0050C2409	KTEC LTD                                     
0050C233C	SkipJam                                      
0050C2362	AZD Praha s.r.o.                             
0050C2358	ALCEA                                        
0050C2350	Kinesys Projects Limited                     
0050C2351	Finesystem Co., Ltd                          
0050C2379	Control LAN S.A.                             
0050C236C	RISCO Group                                  
0050C2346	biokeysystem                                 
0050C2347	Row Seven Ltd                                
0050C2326	Navionics S.p.A.                             
0050C2313	SAIA Burgess Controls AG                     
0050C2024	IPITEK                                       
0050C21F1	SKY Computers, Inc.                          
0050C21ED	EMKA-electronic AG                           
0050C21EE	Perto Periféricos de Automação S.A.          
0050C21E6	United Tri-Tech Corporation                  
0050C21E7	Smith Meter, Inc.                            
0050C21EC	COSMO co.,ltd.                               
0050C2218	Nansen S. A. - Instrumentos de Precisão      
0050C21FA	SP Controls, Inc                             
0050C21F2	Tattile srl                                  
0050C2240	Geoquip Ltd                                  
0050C2236	JLCooper Electronics                         
0050C222C	Intrinsity                                   
0050C2222	imo-elektronik GmbH                          
0050C224A	CDS Rail                                     
0050C21D2	Shenyang Internet Technology Inc             
0050C21D3	Synopsys                                     
0050C219B	Wilcoxon Research, Inc.                      
0050C2196	Netsynt Spa                                  
0050C2197	EPM Tecnologia e Equipamentos                
0050C21B4	DSP Group Inc.                               
0050C21B5	Thrane & Thrane A/S                          
0050C21AF	PESA Switching Systems, Inc.                 
0050C21AB	Streaming Networks                           
0050C217D	Cognex Corporation                           
0050C2179	Verifiber LLC                                
0050C2174	N&P Technologies                             
0050C2173	DeMeTec GmbH                                 
0050C21C8	Euphony technology CO., LTD.                 
0050C21C9	modas GmbH                                   
0050C21BF	International Test & Engineering Services Co.,Ltd.
0050C2187	Cyan Technology Ltd                          
0050C2183	Mixbaal S.A. de C.V.                         
0050C2184	H M Computing Limited                        
0050C217E	Binary Wave Technologies Inc.                
0050C21BE	Sedia Electronics                            
0050C21B9	EmCom Technology Inc.                        
